UNIQUD,NAME,MPP,CLP,CMP,GMP,MEP,CD8
NM_029455,Fam227b,0.5251,1.1356,0.3491,1.0994,4.0201,0
NR_106086,Mir7227,0,0,0.3495,0,0,0
NM_144958,Eif4a1,505.3783,664.7214,521.2949,564.017,1203.5938,189.5978
NM_028889,Efhd1,6.8227,19.6865,2.095,0,0.8035,0
NM_029777,Rhbdd1,43.7002,52.6303,81.7149,82.4548,142.3201,113.0828
NM_172405,Fam175a,59.0606,81.0289,86.2535,59.0036,180.106,64.0282
NM_027154,Tmbim1,93.181,71.9504,110.0006,108.8399,133.461,7.4838
NR_102758,Farsb,93.9616,177.211,215.7954,265.6909,881.1007,170.4658
NM_001130188,Sgce,17.7149,16.2804,6.6348,1.466,16.0733,3.327
NM_207141,Olfr955,0,0,0,0,0,0
NM_001162368,Mgat4c,6.037,0,0.698,1.0993,3.214,0
NM_199449,Zhx2,15.3533,26.506,16.7617,13.9256,22.5117,283.5365
NM_001007583,Best3,8.0032,0.7571,0,0.7331,0.8035,0
NM_001286652,Tmem176b,1136.6476,909.929,1242.0406,904.0839,151.9566,29.9355
NM_008117,Gh,1.312,1.8939,0,0,0,0
NM_172420,Ppp1r1c,2.2309,0,0.3491,0.3664,0,0
NM_001168290,Sugp2,44.8885,53.0075,63.9017,38.1096,103.7218,78.9925
NM_001004147,Fbll1,0,0,0,0,0,8.3159
NM_010910,Nefl,0,0,0,0,0,0
NR_105873,Mir6908,0,0,0,0,0,0
NR_037692,4933407L21Rik,0,0.3785,0,0,0,0
NM_008555,Masp1,4.9856,0,0,0,0,3.3273
NM_001146318,Cnp,286.7296,480.6129,288.4279,227.2085,931.8626,551.3242
NM_001161797,Phactr4,120.3466,137.0633,180.8896,156.846,642.4734,103.1049
NM_145597,Tmem161a,98.8219,128.3766,134.7838,141.8211,411.667,87.3064
NM_001033438,Gm906,0,0,0,0,0,0
NR_038141,1700008K24Rik,0,0,0,0,0,0
NM_144839,Ube2e2,28.0827,12.4929,35.2743,25.6528,34.581,9.1488
NM_001081287,Mpp7,64.3021,102.2317,85.2066,87.2188,193.7755,103.1078
NM_021483,Pex5l,7.741,2.2727,0.349,0,0.8035,0
NR_002862,Gm5088,0,0,0,0,2.4131,0
NM_025701,Trappc5,359.7702,384.3668,560.1009,458.8094,760.5675,183.7695
NM_134027,Med1,169.1733,237.429,264.3493,259.4554,601.4267,286.8612
NR_033520,Tmem181b-ps,0,0,0,0,0,0
NM_010381,H2-Ea-ps,0,0,0,0,0,0
NM_001114595,Ehbp1l1,191.7231,290.0969,261.5515,281.0706,823.3804,236.1661
NM_019388,Cd86,9.5791,14.0087,4.191,2.5649,0.8048,46.565
NM_145822,Cd3eap,286.6724,353.7088,361.4275,418.8592,1106.406,228.6641
NM_026406,Rnf115,65.6267,104.8805,135.8323,127.1577,207.4176,182.9252
NM_023153,Cwc15,293.7255,493.0965,538.8048,590.0219,1083.0315,439.8755
NR_038084,Six3os1,0,0,0,0,0,0
NM_146177,Suv420h2,413.8621,387.0155,474.5345,458.0976,970.4494,184.6043
NM_146433,Olfr994,0,0,0,0,0,0
NM_027652,Ept1,31.6303,53.7736,73.3322,71.8242,228.3199,70.6847
NM_001166375,1-Mar,4.7236,6.0621,11.1742,6.2301,8.0427,6.6532
NM_001172069,Senp8,9.7116,16.6557,21.3008,15.7585,33.7657,29.9338
NM_018830,Asah2,16.0098,15.521,17.1122,15.756,8.8449,7.484
NM_026828,Dnlz,164.5458,289.3518,178.0963,175.5342,499.262,142.1913
NR_028591,Gm14005,39.5289,21.9643,123.271,263.4825,20.0934,35.7588
NM_178061,Mob3b,41.0747,30.664,86.9546,64.13,100.5249,79.8248
NM_146244,Rps6kl1,0,4.1684,1.7463,0,10.4559,5.8224
NR_003649,Gm5434,0,0,0.6985,0.3665,0,0
NM_212441,Acsm3,1.182,0,0,0,0.8035,1.6635
NM_001199960,Ccl27b,0,0,0,0,0,0
NM_001081124,Map7d2,4.1988,1.5142,1.7454,1.8321,5.6282,0
NM_146717,Olfr433,0.3936,0.7571,0,0,0,0
NM_029770,Unc5b,0,1.1356,0,0.3665,0.8035,0
NM_177197,Idi2,0,0,0,0,0,0
NM_029420,Slx1b,67.9859,93.5257,94.2827,87.952,124.6058,78.987
NR_045940,4930402F11Rik,0,0,0,0,0,0
NM_009412,Tpd52,74.9373,100.3379,158.5393,137.4218,43.4113,44.899
NM_001011753,Olfr115,0,0,0,0,0,0
NR_037296,Mir3109,0,0,0,0,0,0
NM_198927,Smgc,0,0,0,0,0,0
NR_029557,Mir145,0,0,0,0,0,0
NM_133892,Lao1,6.9539,0,1.0474,1.8321,0,0
NM_009595,Abl2,111.9367,167.7544,188.9147,149.1511,282.2106,230.3321
NR_045516,Dlg1,92.2632,146.9067,165.5239,145.4834,409.2686,256.9371
NM_001128180,Dlgap1,36.4746,1.1364,6.2859,1.0993,1.6083,2.4954
NM_146033,Ankmy2,32.9394,51.492,55.8767,58.267,85.2262,70.6782
NM_001162417,Myef2,16.5341,21.5853,44.0014,23.4525,119.823,36.5885
NM_001081213,Ermp1,28.0892,55.2808,75.7813,93.8151,104.5097,51.5545
NM_001161406,Grhl1,0.9184,0.7571,0.699,1.4662,4.0175,1.663
NR_045798,1810034E14Rik,36.6064,21.2068,10.4761,15.3927,39.4006,178.7766
NM_144903,Aldob,0,0,0,0,0,0
NM_001195596,Smlr1,0,0,0,0,0,0
NM_145521,Ppapdc3,18.9021,14.7668,11.1729,8.4283,22.5117,3.3257
NR_027964,Gm10416,0,0,0.3494,0.3664,0,0
NM_001190385,Caly,0,0,0,0.7329,0,0
NM_007428,Agt,0,0.3788,0,0,0,0
NM_001136062,Eno3,26.902,30.6767,45.3965,30.7833,82.0201,107.276
NM_009141,Cxcl5,0,0,0.3491,0,0,0
NM_001199936,Mup16,0,0,0,0,0,0
NM_021327,Tnip1,168.7867,154.139,215.4518,238.5726,160.0152,567.0642
NM_013522,Frg1,74.9354,127.9831,138.9848,130.091,135.0771,87.315
NM_018873,Srcin1,2.7552,0,0.6984,0,0.8035,1.663
NM_175650,Atp13a5,5.248,0,0,0,0,0
NR_105808,Mir6386,0,0,0,0,0,0
NM_001242364,Fam160a2,40.9475,53.0065,43.299,73.2921,158.3896,117.2453
NM_001082962,Snrpn,7.086,2.2725,3.8401,8.0628,1.607,10.8108
NM_001190352,Tmem132b,5.248,0.7579,3.491,0.3662,2.4105,4.1584
NM_001166428,Hnrnpf,134.6441,250.7185,207.0609,237.8444,651.2371,177.1228
NM_175417,Adtrp,9.7095,1.1356,1.0475,0.7331,2.4118,0
NM_001024853,Timm9,214.983,324.923,408.5632,379.6585,984.9012,344.2425
NM_001191023,Dync1i1,6.5606,0.3785,1.0479,1.099,0.8035,0.8318
NR_045829,4921511I17Rik,3.1489,0,1.0478,0,0.8035,1.6624
NM_001202446,Mapk8ip1,0.7873,6.0587,0.3491,0,0,0.8312
NM_178774,Prr18,0.3936,3.0299,4.1893,1.4658,2.4143,1.6627
NR_077239,A230009B12Rik,0,0,0,0,0,0
NM_010143,Ephb3,0,0,0,0,1.6083,0
NM_001009573,Unc13d,204.711,214.3497,179.4912,151.3456,475.1971,309.3334
NM_027139,Taf9,36.2222,101.8708,86.9499,104.0769,258.0604,29.1044
NM_001166595,Eif5a,3653.0662,5360.4212,3700.3461,4315.8015,9428.5002,1761.1495
NM_010336,Lpar1,33.4601,49.5968,17.4626,13.1904,39.4109,23.2836
NR_045947,D230030E09Rik,0.2624,0,0,0.7331,0,0
NM_016886,Gria3,191.9302,342.9812,940.741,796.6806,55.4882,108.9161
NM_025488,1700001K19Rik,0.3936,0,0,0,0,0
NM_026669,Tmbim6,998.4764,1141.4007,1518.905,2210.9826,2744.8417,1096.8521
NM_019659,Kcnj1,0,0,0,0,0,0
NM_001267796,Igip,5.7736,12.4937,12.9216,9.5275,39.3874,24.1125
NR_045975,4930519D14Rik,0.2624,0,0,0,0,0
NM_028506,Ccdc30,6.9538,3.7858,1.3969,1.099,1.6083,40.743
NM_010806,Mllt4,19.6825,14.0102,21.6493,1.8323,17.6856,23.2813
NM_028977,Lrrc17,0,0,0,0,4.8223,0
NR_030555,Mir297c,0,0,0,0,0,0
NM_001005506,Txlna,185.565,242.7303,248.6315,278.8785,449.5054,148.8406
NM_178164,Ptbp3,204.2417,420.6196,618.7659,615.295,806.4168,513.0544
NR_104436,Clmn,8.1345,6.0571,1.7462,1.099,0,3.3273
NM_030052,Cox7b2,3.1489,0,0,0,0.8035,0
NM_001011821,Olfr804,0,0,0,0,0,0
NM_013933,Vapa,169.9828,238.1821,420.7604,497.3014,664.9078,207.878
NM_001276679,Syt6,0.7872,0.3788,0,0.3665,0,9.1466
NM_010349,Grik2,11.1534,0,3.4915,3.2985,2.4118,2.4951
NM_001048005,1110017D15Rik,5.7735,0,0,0.3665,0.8035,3.3254
NM_177993,Hbp1,5.5128,32.5573,15.3609,15.7568,19.2951,22.4487
NM_177185,Ubn2,235.4516,401.3705,495.8807,440.1182,775.9147,583.7156
NM_207282,Dpp6,14.4338,0.3789,0,1.4657,0.8035,0
NM_010588,Jag2,6.6916,14.006,5.937,1.466,0.8035,0.8315
NM_008516,Lrrn1,1.312,0,0,0,0,0
NM_138944,Pou4f2,0,0,0,0,0,0
NM_199319,Ssxb5,0,0,0,0,0,0
NM_010093,E2f3,158.1312,255.6273,236.7625,186.895,427.7864,65.6902
NM_001164320,Chadl,4.0676,3.786,1.7454,2.9317,4.0213,0
NM_001081419,Dip2a,8.2665,16.6587,8.0312,7.3294,3.2166,5.821
NR_102282,Cops5,158.4162,232.8784,267.1351,285.1095,764.5427,140.5241
NM_027879,Cdc40,66.4106,129.5005,153.2953,154.2813,233.981,166.301
NM_023116,Cacnb2,64.6963,173.3903,155.7449,78.4197,20.0961,4.9889
NM_201388,Plec,300.9522,211.6902,337.31,283.2801,142.3099,693.4874
NM_007760,Crat,38.1912,68.9275,42.2551,59.3669,203.4276,11.6417
NM_153164,Cnot1,124.6725,187.0496,252.1194,275.2207,570.1173,243.6327
NM_026904,Anapc10,18.9018,30.6682,39.1143,34.4479,83.6219,53.2183
NM_145453,Zcchc9,60.8972,68.915,80.3184,78.0567,185.7185,95.6225
NR_027644,Vsig8,0.1312,0,0,0,0,0
NM_177704,Sytl5,0.6561,0.3788,0.3491,0,2.4118,0
NM_052991,Fxyd1,11.2834,12.114,0.3491,0,0,12.4757
NR_030469,Mir669b,0,0,0,0,0,0
NM_013826,Mocs2,41.3397,60.5863,75.7789,85.0154,137.4614,53.2159
NR_028096,Rabggtb,121.5325,224.9447,243.0388,258.3613,1037.1221,155.4927
NM_001126322,Gm11595,0,0,0,0,0,0
NM_009470,Umod,0,0,0,0,0,0
NM_183106,Ttc17,112.3449,144.6532,159.5936,157.9469,275.7851,238.6444
NR_029918,Mir370,0,0,0,0,0,0
NM_018741,Igfbpl1,4.592,0.3785,0,0,0.8035,0
NM_001252569,Serpina1a,0,0,0,0,0,0
NM_134072,Akr1c14,0,0,0,0,0,0
NM_001177354,Myc,569.8162,565.4336,761.9077,724.8875,1168.2265,143.864
NM_001130444,Hras,224.321,249.5817,223.8357,278.5076,970.415,117.2467
NM_009990,Clip2,20.4698,13.6291,22.6993,11.7273,13.6736,4.1563
NM_015779,Elane,3074.9849,1389.638,899.1825,6979.4471,165.5949,9.1463
NM_001081383,Kmt2c,162.3416,210.5123,302.0659,228.6678,405.2434,662.6999
NM_001033191,Naa11,2.6256,1.1367,0,0,0,0
NM_026213,Ttc33,38.3162,60.588,55.521,59.7301,75.5765,40.7467
NM_207301,Wrb,20.9976,30.678,42.9522,35.5474,84.4241,21.62
NM_134020,Tmed4,67.8511,76.8681,112.7947,127.16,112.5562,30.7664
NM_153552,Thoc1,40.5534,72.3146,105.4622,118.3669,272.5544,112.2514
NM_001276317,Uba1,547.7257,645.0176,730.862,759.6839,1571.1694,471.4733
NM_001011811,Olfr487,0,0,0,0,0,0
NR_030483,Mir702,0,0,0,0,0,0
NM_001081476,Gm14725,0,0,0,0,0,0
NM_026921,Isca1,14.3042,31.4371,20.9532,18.3226,149.5542,39.9109
NM_001081096,Fam154a,4.592,0,0,0,0,0
NM_001113389,Dyrk1a,133.2065,178.3492,209.5239,203.3833,341.7214,251.1082
NM_133672,Vps26a,104.4648,124.2074,192.4054,211.0853,390.7585,128.8753
NM_001205274,Crxos,0,0,0,0,0,0
NM_001078649,Tmem134,259.9797,374.5365,315.6731,278.873,666.5185,482.2856
NM_013771,Yme1l1,36.4863,75.3481,131.3006,109.9407,250.0543,156.3273
NM_001033532,AW554918,78.0807,79.1407,113.8474,87.2154,177.6863,201.2194
NM_018773,Skap2,188.1939,198.4119,330.3382,314.7874,134.2607,29.9383
NM_201395,Sall4,2.3616,0.3785,1.7456,1.0996,3.2153,2.4951
NM_175029,Atg4c,34.9114,42.0272,49.5853,48.3725,60.2908,9.1472
NM_010405,Hba-x,0,0,0,0,0,0
NM_145960,Mtrf1,19.5537,30.2956,37.0171,36.6449,41.0101,6.6532
NM_145436,Cdc27,98.1635,162.041,204.2815,153.179,340.0856,177.943
NM_001077591,Tsks,6.0364,0,0.3491,0,0,0
NM_001008426,Gm5531,0,0,0,0,0,0
NM_177625,Ttc5,17.9837,16.2793,20.9506,7.6951,16.8808,12.4721
NM_053225,Vmn1r50,0,0,0,0,0,0
NM_027895,Ulk3,15.3562,19.3083,28.6379,15.0239,38.592,65.6965
NM_001277322,Ilf3,264.8147,339.3007,364.5648,318.0906,515.3708,207.0451
NM_146580,Olfr1020,0,0,0,0,0,0
NM_009161,Sgca,1.3122,2.2727,1.0481,0,0,0
NM_207022,Tas2r118,0,0,0,0,0,0
NM_018743,Agpat6,205.7552,300.7074,278.3148,313.3219,500.9371,202.0628
NM_178936,Tmem56,4.5933,31.063,6.9845,4.7645,795.1286,1.6633
NM_008635,Map7,196.4492,252.1771,257.3514,190.9332,489.6502,113.9181
NM_147093,Olfr558,0,0,0,0,0,0
NM_178185,Hist1h2ap,0,0,0,0,0,0
NM_001099288,Arhgap44,3.6736,0,1.0481,0,0,1.6636
NM_054042,Cd248,0.2624,0.7579,0,0,41.0114,0
NM_019866,Spib,14.0389,60.2231,2.0947,2.9317,13.6709,16.6284
NM_009741,Bcl2,671.6051,753.0415,1330.7897,684.921,205.0597,1411.8723
NM_010079,Dsg1a,0.1312,0,0,0,0,0
NR_029550,Mir136,0,0,0,0,0,0
NM_183216,Scd4,2.2304,0,0,0.7326,0.8035,1.663
NM_009514,Vpreb3,9.9717,978.8988,3.8418,2.565,12.8582,2.4936
NM_001159901,Hopx,10.4995,40.899,11.5256,31.1471,36.9824,359.2439
NR_033145,Dand5,21.7848,40.1464,16.065,33.3481,65.1315,68.1811
NM_028057,Cyb5r1,54.2019,60.2158,85.9061,91.6114,147.9275,41.5726
NR_102310,D630024D03Rik,0,0,0,0,0,0
NM_173019,Pfkfb4,63.2477,45.8178,39.8119,41.4078,112.5538,19.1238
NM_024465,Abhd12,108.1361,216.2725,140.7271,131.9258,143.9246,146.3453
NM_028066,F11,0,0,0,0,0,0
NM_153586,Rbm41,12.467,22.3366,37.7127,26.3845,38.5931,44.0684
NM_001163276,Med16,185.9508,225.7149,183.681,210.3558,374.6812,98.1148
NM_001127188,Zfp534,0,0,0,0,0,0
NM_007963,Mecom,10.366,2.2712,4.5389,5.4972,0.8048,0.8318
NM_148946,Slc8a2,0,0,0,0,0,0.8318
NM_016970,Klrg1,3.5431,4.1655,0.6986,1.0993,0.8035,64.8703
NM_001287179,Kif14,28.2117,84.8434,48.8889,24.9208,108.5242,3.3263
NM_007560,Bmpr1b,12.4645,0.3789,0.6986,0.3665,0.8035,1.6636
NM_019811,Acss2,14.83,25.3714,33.5235,17.5875,246.0042,191.2434
NM_030258,Gpr146,52.3624,81.0414,62.8532,48.7392,214.6789,153.8218
NM_001252560,Mllt10,213.6511,362.3665,400.883,366.0922,732.4747,362.5494
NM_031201,Tsta3,195.4347,251.455,219.2966,285.108,483.2002,187.9261
NM_019973,Son,715.7394,899.6292,1249.0432,1245.9912,2271.3609,1349.5407
NM_001168655,Socs2,27.9479,200.2807,4.541,1.0993,15.2738,11.6422
NM_001003972,Senp7,12.2056,26.1237,16.0645,17.59,64.3121,75.6665
NM_133903,Spon2,0.7872,19.3235,1.3968,0.7328,245.2492,3.326
NM_001161411,Trappc12,11.285,13.6293,39.109,23.82,87.6273,68.1833
NM_001284273,Tmem201,42.2663,47.7123,41.5529,48.7402,71.5607,14.9658
NM_001039578,Evi5l,15.0882,15.5284,15.0172,10.2602,20.9009,9.9758
NM_024289,Osbpl5,41.7241,77.2473,28.9863,31.8836,7.2341,102.2787
NM_173734,Tmem87a,25.4658,34.4561,45.3952,35.5455,77.9673,103.9334
NM_009384,Tiam1,57.095,98.4555,133.0494,174.0743,69.1554,9.1474
NM_001286545,Ccpg1,98.0203,122.3287,103.0184,104.8059,97.2915,193.7479
NM_001253377,Kcnma1,12.0712,1.5152,1.3968,0.7331,1.607,2.4948
NR_045614,4930413G21Rik,1.4437,4.9246,2.0956,1.4656,3.2153,1.6627
NR_033541,Gm10389,0.5248,0,0,0,0,0
NM_016681,Chek2,84.1192,108.2937,167.6187,120.1971,493.644,29.1031
NM_134095,Desi1,140.1646,293.838,146.6613,171.8714,506.5521,148.0089
NM_001166837,Vmn1r114,0,0,0,0,0,0
NM_001081412,Bcr,260.8792,449.8184,227.3309,215.8452,70.7529,88.977
NR_040659,Gm5860,0.3936,0,1.3973,0,0,0
NM_001284398,4-Sep,11.9399,28.4103,3.8426,2.5653,205.8395,9.9783
NM_026557,Rchy1,72.6968,142.0003,112.0993,81.7212,224.3259,212.0409
NM_001128510,Gm9513,0,0,0,0,0,0
NM_001167680,Rhbdf2,31.0999,70.0728,44.0006,47.6393,43.431,50.72
NM_183256,Cox14,316.2439,455.2135,328.2415,344.1133,658.509,266.0709
NR_045199,Mira,125.3226,136.6791,115.2289,65.9622,24.1214,4.9884
NM_001033668,Dnah1,8.5289,15.5312,2.4443,4.7639,12.0547,0
NM_001014996,Cenpj,28.7414,44.2908,58.316,47.6401,55.4688,62.3649
NM_011432,Snrpc,36.75,34.0842,51.3272,40.6777,102.9278,15.798
NM_001085548,Krtap4-9,0,0,0,0,0,0
NM_019984,Tgm1,1.7062,0.7579,0.6983,2.5654,0.8048,0
NM_199148,BC051665,0,0,0,0,0,0.8318
NM_001164614,Ccdc159,0.6561,7.5789,2.7934,2.199,0,0
NM_001286452,Daam1,28.4799,48.8648,43.6528,67.0632,381.1546,20.7848
NM_026003,Smarca2,138.1866,108.2761,156.7836,117.2651,124.6058,276.0727
NM_001024927,Pitpnm3,1.3123,0,0,0,0,0
NM_011680,Usf2,591.5433,643.8301,515.0484,462.4731,944.7302,514.714
NM_010923,Nnat,0,0,0,0,0,0.8318
NM_009653,Alas2,1.9684,88.646,4.8893,1.0996,43.41,4.9871
NR_106050,Mir7082,0.5248,0,0,0,0,0
NM_011961,Plod2,11.9447,15.1431,11.8722,5.1309,13.6655,4.1584
NM_008409,Itm2a,6.1669,5.3,6.9845,4.3973,2.4118,62.369
NM_013917,Pttg1,46.717,85.5932,63.5551,87.2167,201.8053,154.661
NM_001271001,Gfra4,4.9857,11.3626,0.3491,0,2.4131,0
NR_040372,Gm14169,0,0,0,0,0,0
NM_001160345,Svip,60.2558,50.3751,114.5394,243.3311,236.4004,0
NM_133851,Nusap1,92.3758,154.897,132.0011,39.2121,252.4987,16.6307
NM_027603,4921511H03Rik,0,0,0,0,0,0
NM_175514,Fam171b,0.9185,0.7571,0,0,0.8035,0
NM_008995,Pex5,29.7893,55.6669,55.8735,39.2109,147.1335,40.7445
NM_001166382,Rad52,38.0566,60.9664,67.048,48.7403,182.5045,89.8051
NM_007624,Cbx3,55.9089,76.4931,59.0177,47.273,95.6727,36.5817
NM_181058,Zbtb20,130.7054,184.011,185.0796,80.2561,138.2911,502.2044
NM_023395,Wfdc1,0,0,0,0,0,0
NM_001163564,Naf1,34.5166,60.5957,71.9346,76.2266,173.661,17.4627
NM_133809,Kmo,26.1165,92.3658,39.8045,33.3473,4.8236,4.1574
NM_001177785,Cd44,259.996,511.0973,512.9653,476.408,857.8181,166.3244
NM_134231,Vmn1r185,0,0,0,0,0,0
NM_009096,Rps6,84.1149,79.8914,125.0123,120.1992,142.3058,76.5002
NM_001032298,Bglap2,0,0,0,0,0,0
NM_175201,Rnf38,83.9889,171.1444,170.7642,149.1518,256.4585,185.425
NM_199021,Dpp10,10.89,0,1.0478,0.7331,1.6097,1.6624
NM_020604,Jph1,4.5925,1.5141,1.3972,1.0996,0.8048,0.8318
NM_029075,Stx11,10.6321,5.682,18.5045,28.2173,130.2131,15.8005
NM_010419,Hes5,11.284,30.2887,2.4444,0.7329,0,3.327
NR_106139,Mir129b,0,0,0,0,0,0
NM_001135172,C1qtnf7,2.624,0,0,0.7331,0,0.8318
NM_011951,Mapk14,434.0204,508.16,679.1895,643.8858,811.2744,393.3052
NR_029656,Mirlet7d,0,0,0,0,0,0
NM_028207,Dusp3,14.8326,32.582,33.1754,29.6835,24.9222,1.6627
NM_007547,Sirpa,113.6622,196.9588,233.2609,275.2076,45.8243,5.8202
NM_010643,Klk1b24,0,0,0,0,0,0
NM_007526,Barx1,0,0,0,0,0,0
NM_001253719,Fstl5,10.7589,2.6513,1.048,1.8321,4.0213,2.4942
NM_001011525,Olfr1415,0,0,0,0,0,0
NR_104577,0610040F04Rik,3.9369,0,1.0473,0,2.4118,2.4945
NM_138656,Mvd,22.847,19.6857,15.7138,32.6134,29.7536,57.3788
NR_029908,Mir215,0,0,0,0,0,0
NM_146653,Olfr435,0,0,0,0,0,0
NM_001034037,1700024G13Rik,10.8908,0,1.3969,0,0,0.8318
NM_001033539,Bex6,305.4769,275.9845,307.2864,266.0535,12.862,1.663
NM_001271759,Adra1a,1.4432,0,0.6983,0.3665,0.8035,0
NR_073420,Surf1,98.558,132.5371,133.7471,139.9859,273.3708,174.6222
NM_025634,2310042E22Rik,0,0,0,0,0,0
NM_033578,Pcdhgb6,52.3557,47.7168,51.3327,39.2113,47.4458,39.0778
NR_036456,A730020M07Rik,0,0,0,0,0,0
NM_001110129,Ppih,11.4191,14.0075,25.4912,21.9879,50.6595,15.7962
NR_015515,6430562O15Rik,0,0,0,0,0,0
NM_033218,Srebf2,219.4064,255.225,147.7068,102.9732,258.0773,255.2747
NM_009435,Tssk1,0,0,0,0,0.8035,0
NM_198657,Gm5148,0.3936,0,0,0,0,0
NM_001109973,Mdfi,61.4134,38.6233,53.7797,30.4169,4.0201,2.4942
NM_021334,Itgax,17.8439,41.641,16.41,6.9629,4.8261,48.2323
NM_153565,Pcsk9,0.2624,0,3.8413,0.7331,0.8048,0.8312
NR_037958,1300002E11Rik,13.5184,35.2199,9.7789,11.3594,176.8869,54.8788
NM_001199284,Slc43a2,189.0937,239.6764,222.0937,183.6006,36.981,427.3867
NM_001002775,4932416K20Rik,0.3937,0,0,0,0,0
NM_001159968,Ralgps2,57.0866,79.1529,107.2146,85.0187,95.6859,221.174
NR_105846,Mir6418,0,0,0,0,0,0
NM_001113238,Fcrl5,4.1986,0.7571,0.349,1.099,0,1.6624
NM_001033170,Fam83e,3.5426,0.7573,0.6985,1.8324,19.3018,5.8201
NM_001159376,Dusp15,0.7872,2.2717,0,0,0,0
NM_134015,Fbxw11,161.4292,185.9313,272.377,262.7564,342.5459,183.7675
NM_147101,Olfr549,0,0,0,0,0,0
NM_001286599,Clasp2,29.0111,12.8727,61.1069,56.801,98.099,59.8689
NR_046077,Gm4265,2.7552,0.3785,0,0,0.8035,0
NM_016860,Actr1a,214.0536,291.5835,303.1007,281.0722,740.5328,345.0787
NM_176966,Fsd1l,1.5747,1.8927,4.1903,6.9625,24.9273,0
NR_045781,I730030J21Rik,40.2845,46.1864,46.4446,46.1744,29.7536,61.5303
NM_172473,Hace1,12.4678,23.0958,32.4744,21.9872,114.964,49.058
NM_010456,Hoxa9,355.9965,286.5747,218.9501,140.3527,120.5949,4.9884
NM_001085374,Mcc,19.9427,0,1.397,0.3665,3.214,0
NR_030647,Mir683-2,0,0,0,0,0,0
NM_144847,Nrbp2,0.2624,0,0.6985,0.3662,8.044,3.327
NM_001011527,Olfr503,0,0,0,0,0,0
NM_175342,Cphx1,0,0,0,0,0,0
NM_025363,1110001J03Rik,280.8941,372.2833,418.3307,516.3619,783.221,196.2375
NM_146300,Olfr827,0,0,0,0,0,0
NM_177395,Map3k9,0.9184,4.1664,1.0485,1.8322,0,0
NM_001033229,Cyp11b1,0,0,0,0,0,0
NM_019580,Gde1,90.0271,159.8129,125.7124,134.4873,390.7755,88.143
NM_001168622,Znrf1,699.9543,734.9026,967.2462,712.0366,621.4741,705.9447
NR_028425,D7Ertd143e,0,0,0,0,0,0
NM_020285,Tssc4,139.7758,158.6883,161.3304,160.8758,404.4346,45.7325
NM_010247,Xrcc6,406.6691,881.0505,335.5849,273.3816,790.4104,164.6357
NM_022983,Lpar3,4.9857,0,1.0473,0,0,0
NM_001085449,Ctnnd1,22.9757,15.901,85.5532,101.1448,141.5012,0.8312
NM_001101561,Gm6251,17.9776,36.3607,30.0263,24.1892,70.761,18.2933
NM_178214,Hist2h2be,4.5926,24.9915,15.7128,11.3596,56.2839,18.2919
NR_045881,Gm10556,0,0,0,0,0,0
NM_198702,Lphn3,11.285,0.3789,1.0475,1.4659,2.4118,3.3266
NM_026013,Dram2,20.9998,26.5024,46.7909,53.1399,76.3774,81.4849
NR_049201,Mir344h-1,0,0,0,0,0,0
NM_001167905,Cyp2c44,1.1808,0,0,0,0,0
NM_001284191,Artn,0,0,0,0,0,0
NM_001009574,Taar5,0,0,0,0,0,0
NM_016801,Stx1a,18.6323,24.615,17.1117,8.4284,5.6271,197.9021
NM_010438,Hk1,308.1502,323.431,521.6994,413.3785,2628.4399,314.3139
NM_011548,Tcf3,368.3657,957.4928,479.7993,427.6644,2125.174,314.3169
NM_016737,Stip1,404.2426,512.0196,504.2214,532.1142,1440.0521,316.8114
NM_178604,Txnl4a,456.0527,605.5627,559.761,661.8472,1444.9032,464.8106
NM_001030294,Olfm4,0,0,0,0,0,0
NM_008211,H3f3b,441.354,783.1241,879.9467,789.3731,1951.0945,343.4088
NR_027637,Gm4489,0,0,0,0,0,0
NM_011311,S100a4,42.1228,26.5057,66.695,52.039,88.4583,179.6331
NM_013867,Bcar3,4.1985,3.0299,1.7468,3.2982,3.2153,3.3266
NM_146633,Olfr1501,0,0,0,0,0,0
NM_001033424,Fnd3c2,0.2624,0,0,0,0,0
NM_010718,Limk2,109.4569,168.1278,138.2811,175.8994,243.6304,478.9608
NM_026743,Tspan11,3.8053,0,0,0,0,0
NM_008296,Hsf1,207.4926,229.4837,292.2795,281.815,624.7354,292.6904
NM_147108,Olfr979,0,0,0,0,0,0
NM_001164739,Fam47c,0,0,0,0,0,0
NM_145987,Tmem82,17.9899,8.7118,9.4274,22.7212,6.4293,0
NM_133730,Krt25,0,0,0,0,0,0
NM_172573,Engase,29.0102,50.373,35.9699,34.4452,166.4953,23.2814
NM_001200002,Tmppe,63.6568,79.5077,94.6355,86.8496,116.5855,159.6561
NM_028186,Nkd2,0.5248,6.8198,0,0,0.8035,0
NM_001195065,Phactr2,162.4861,263.1223,277.611,240.7621,53.8723,47.4026
NM_133667,Pdk2,23.0998,29.5324,17.1122,12.8262,51.4514,18.2918
NM_172914,Ccdc113,0,0,0,0,0.8035,0
NM_001081133,Kif16b,52.7603,46.9556,72.9864,71.4598,78.7867,79.8257
NM_013694,Tnp2,0.3936,0,0,0,0,0.8312
NM_030554,Rab27b,6.5624,0,22.002,8.0626,14.4703,0
NM_001161540,Islr2,0.5248,0,0,0,0.8048,0
NM_001081667,Klhl34,0,0,0,0,0,0
